breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Schipperke,"Berdiri tidak lebih tinggi dari 13 inci, Schipperkes adalah anjing kecil yang dibuat untuk kerja keras. Schip diciptakan sebagai penilai dan pengawas. Rahang, leher, dan bagian depan mereka yang kuat—ditambah dengan gaya berburu yang sembunyi-sembunyi seperti kucing—menjadikan mereka mesin penangkap tikus yang ideal. Mantel hitamnya banyak di sekitar leher, bahu, dan kaki, memberikan siluet ras ini yang menonjolkan tubuh yang tebal dan besar. Wajah foxy melengkapi tampilan unik dari ras yang unik. Jika Anda tidak dapat membedakan Schipperke dari anjing biasa, Anda tidak memperhatikannya. Schipperke, ""kapten kecil"" Belgia, adalah anjing tongkang tradisional di Negara-Negara Rendah. Penasaran, lincah, dan intens namun nakal, anjing hitam kecil ini adalah teman yang kuat dan berumur panjang yang tidak pernah ada momen membosankannya.","Percaya Diri, Waspada, Penasaran",105,25.4,33.02,4.535923700000001,7.25747792,12.0,14.0,Non-Sporting Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,0.4,Mandiri,0.6,Waspada/Responsif
Scottish Deerhound,"Mundur: Anda memerlukan sedikit jarak untuk sepenuhnya menghargai keagungan binatang purba ini. Dalam siluet kita melihat seekor anjing pemburu yang mulia yang diambil dari template Greyhound klasik. Namun, Deerhound jauh lebih besar dan lebih kokoh daripada Greyhound—jantan berukuran besar dapat berdiri di bahu 32 inci dan berat 110 pon. Bulu garing terlihat dalam beberapa warna; pecinta ras lebih menyukai bulu biru-abu-abu tua. Kepala yang meruncing dan leher yang panjang menambah daya angkat ekstra pada anjing yang sudah megah. Scottish Deerhound yang dilapisi dengan renyah, “Royal Dog of Scotland,” adalah anjing pemburu yang sangat besar dan anggun yang diambil dari pola Greyhound kuno. Di antara ras anjing tertinggi, Deerhound dibiakkan untuk mengintai rusa merah liar raksasa.","Lembut, Bermartabat, Sopan",158,71.12,81.28,34.01942775,49.895160700000005,8.0,11.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.6,Waspada/Responsif
Scottish Terrier,"Siluet Scottie yang terkenal adalah anjing terrier berkaki pendek namun besar dengan perabotan khas di janggut, kaki, dan tubuh bagian bawah. Lapisan atas yang tipis dan lapisan bawah yang lembut dan padat bisa berwarna hitam, kuning gandum, atau pola garis belang-belang. Mata yang cerah dan tajam, serta telinga dan ekor yang tegak, menunjukkan kewaspadaan yang tinggi—ciri khas ras terrier Inggris. Gaya kerja Scottie digambarkan sebagai orang yang efisien dan lugas, dan sikap acuh tak acuh mereka terhadap orang asing menjadikan mereka anjing penjaga yang sangat baik. Naluri berburu mereka tetap kuat, yang dapat mempersulit kehidupan kucing tetangganya, dan Scotties dikenal keras kepala terhadap anjing lain. Orang Skotlandia yang berani dan pandai ini menyukai jalan cepat dan permainan yang ceria. Anjing yang sangat kompak dan berkepribadian cerah, Scottish Terrier adalah anjing yang mandiri dan percaya diri serta memiliki semangat tinggi. Orang Skotlandia memiliki karakter yang bermartabat dan hampir seperti manusia. Kegigihan anjing terrier mereka membuat ras ini mendapat julukan “Diehard”.","Percaya diri, Mandiri, Bersemangat",57,25.4,25.4,8.164662660000001,9.97903214,12.0,12.0,Terrier Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.4,Sesekali,0.6,Latihan rutin,0.4,Mandiri,0.6,Waspada/Responsif
Sealyham Terrier,"Dengan tinggi kurang dari 11 inci di bahu dan berat sekitar 24 pon, Sealy tidak cukup besar untuk dianggap sebagai anjing berukuran sedang, tetapi mereka termasuk yang terkuat dan paling kokoh dari apa yang kita anggap sebagai anjing kecil. Sealy pada umumnya baik-baik saja. -berotot, berbadan rendah, dan mudah bergerak dengan langkah panjang dan tegas. Mantel tahan cuaca didominasi warna putih, dan kepala panjang dan lebar dilengkapi dengan rambut wajah yang lebat. Meskipun mereka terkenal sebagai anjing terrier berkaki pendek, anjing Sealy lucu, lucu, penuh kasih sayang, ramah, dan mudah dilatih, meski sedikit keras kepala. Kewaspadaan dan gonggongan anjing mereka yang besar membuat Sealys menjadi anjing penjaga yang sangat baik. Diberkati dengan sifat mudah beradaptasi, Sealys cocok untuk tinggal di kota atau kehidupan pedesaan. Sealyham Terrier berani dan bersemangat, tetapi tidak runcing seperti anjing terrier yang lebih kecil. Teman-teman yang kuat dan ramah ini dikenali dari “kejatuhan” mereka, yaitu kumpulan rambut yang menutupi dahi. Penggemar Sealy menikmati selera humor anjing mereka yang licik.","Waspada, Ramah, Selera Humor",164,26.67,26.67,10.43262451,10.88621688,12.0,14.0,Terrier Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.6,Waspada/Responsif
Segugio Italiano,"Tenang, responsif, dan cerdas, Segugio Italiano adalah pemburu yang ulet dan hewan peliharaan yang sangat baik.","Ramah, Cerdas, Ingin Menyenangkan",,48.26,58.42,18.1436948,27.2155422,11.0,13.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.6,Musiman,,nan,1.0,Ingin menyenangkan,,nan
Shetland Sheepdog,"Anjing Gembala Shetland adalah anjing penggembala kecil, aktif, dan lincah dengan tinggi bahu antara 13 dan 16 inci. Bulu panjangnya kasar dan lurus, dengan lapisan bawah yang padat, dan berwarna hitam, merle biru, dan musang, dengan corak putih. Mantelnya, bersama dengan kepala panjang berbentuk baji; telinga tegak kecil tiga perempat; dan dada yang dalam, batang tubuh dengan punggung rata, memberi Shelties tampilan miniatur Collie yang berbulu kasar. Shelties yang cerdas dan bersemangat adalah pelatih yang mudah dan pesaing kelas dunia dalam kepatuhan, ketangkasan, dan uji coba menggiring. Mereka adalah anjing keluarga yang sensitif dan penuh kasih sayang, sangat selaras dengan suasana hati rumah tangga. Mereka suka menggonggong dan cenderung tertutup terhadap orang asing—dua kualifikasi sebagai anjing penjaga yang sangat baik. Anjing Gembala Shetland, juga dikenal sebagai Sheltie, adalah penggembala yang sangat cerdas, cepat, dan patuh dari Kepulauan Shetland yang terpencil dan terjal di Skotlandia. Shelties memiliki kemiripan keluarga yang kuat dengan sepupu mereka yang lebih besar, Collie.","Ceria, Energik, Cerah",25,33.02,40.64,6.80388555,11.33980925,12.0,14.0,Herding Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,1.0,Ingin menyenangkan,0.4,Dicadangkan dengan Orang Asing
Shiba Inu,"Dibawa ke Amerika dari Jepang sekitar 60 tahun yang lalu, Shiba semakin populer di Barat dan sudah menjadi ras paling populer di tanah air mereka. Corak putihnya dipadukan dengan warnanya (merah, wijen merah, atau hitam dan cokelat) serta ekspresi waspada dan langkah mulusnya membuat mereka hampir seperti rubah. Mereka adalah anjing yang kokoh dan berotot dengan kepribadian yang berani dan percaya diri. Ras Jepang kuno, Shiba Inu adalah anjing kecil namun berotot yang pernah bekerja sebagai pemburu. Saat ini, Shiba yang bersemangat dan baik hati adalah anjing pendamping paling populer di Jepang. Shiba yang mudah beradaptasi ada di rumah di kota atau desa.","Waspada, Aktif, Penuh Perhatian",44,34.29,41.91,7.71107029,10.43262451,13.0,16.0,Non-Sporting Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Shih Tzu,"Shih Tzu (diucapkan di Barat “sheed-zoo” atau “sheet-su”; orang Cina mengatakan “sher-zer”), dengan berat antara 9 hingga 16 pon, dan tinggi antara 8 dan 11 inci, ternyata sangat kuat untuk anjing mereka. ukuran. Mantelnya, yang tersedia dalam berbagai warna, sepadan dengan waktu yang Anda habiskan untuk memakainya—hanya sedikit anjing yang secantik Shih Tzu yang terawat rapi. Bersikap manis adalah cara hidup pawang yang lincah ini. Shih Tzu dikenal sangat penyayang terhadap anak-anak. Sebagai anjing kecil yang dibiakkan untuk menghabiskan sebagian besar waktunya di dalam istana kerajaan, mereka bisa menjadi hewan peliharaan yang baik jika Anda tinggal di apartemen atau tidak memiliki halaman belakang yang luas. Beberapa anjing hidup untuk menggali lubang dan mengejar kucing, tetapi gagasan menyenangkan Shih Tzu adalah duduk di pangkuan Anda sambil bertingkah menggemaskan saat Anda mencoba menonton TV. Wajah itu! Mata gelap besar itu menatapmu dengan ekspresi manis itu! Tidak mengherankan jika pemilik Shih Tzu sangat senang dengan “Anjing Singa” kecil ini selama seribu tahun. Ke mana pun Shih Tzu pergi, cekikikan dan kenakalan pun mengikuti.","Penyayang, Menyenangkan, Ramah",20,22.86,26.67,4.082331330000001,7.25747792,10.0,18.0,Toy Group,0.8,Menyikat Setiap Hari,0.2,Jarang,0.6,Latihan rutin,0.6,Menyenangkan,0.8,Ramah
Shikoku,"Shikoku asli, atau Kochi-ken, ada di pegunungan Prefektur Kochi di Pulau Shikoku. Mereka sangat dihargai oleh Matagi (pemburu Jepang) sebagai pelacak hewan buruan, khususnya babi hutan. Dia adalah anjing berukuran sedang dengan otot yang seimbang dan berkembang dengan baik. Dia memiliki telinga yang tajam dan ekor yang melengkung atau sabit. Konformasinya kuat, bertulang kuat, dan kompak. Bulu luarnya agak kasar dan lurus, sedangkan lapisan bawahnya lembut dan padat. Rambut di ekornya panjang. Bulunya bisa berwarna merah, hitam dan cokelat, atau wijen, yang merupakan campuran warna rambut hitam, merah, dan putih. Shikoku adalah anjing yang memiliki daya tahan tinggi, tajam dalam perasaan dengan perasaan naif, energik dan sangat waspada. Dia adalah pemburu yang antusias dan patuh terhadap tuannya.","Energik, Waspada, Antusias",,43.18,55.88,15.875732950000002,24.947580350000003,10.0,12.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,,nan,0.6,Latihan rutin,,nan,,nan
Siberian Husky,"Mata Siberian Husky yang anggun dan berbentuk almond berukuran sedang bisa berwarna coklat atau biru—dan terkadang salah satunya—dan menunjukkan ekspresi yang tajam namun ramah dan bahkan nakal. Cepat dan lincah, orang Siberia dikenal karena gaya berjalannya yang kuat namun terkesan mudah. Dengan berat tidak lebih dari 60 pon, mereka terlihat lebih kecil dan lebih ringan dibandingkan sepupu mereka yang kekar, Alaska Malamute. Faktanya, para peternak dan peternak lebih menyukai julukan Siberian daripada husky, karena husky menunjukkan anjing yang lebih besar dan lebih kuat daripada standar ras tersebut. Sebagai anjing pengangkut, orang Siberia menikmati kehidupan berkeluarga dan rukun dengan anjing lain; keramahan bawaan mereka membuat mereka menjadi anjing penjaga yang acuh tak acuh. Trah ini juga energik dan tidak tahan mengejar hewan kecil, jadi ruang lari yang aman adalah suatu keharusan. Ciri menarik dari ras ini: Anjing Siberia secara alami bersih, dengan sedikit bau anjing. Siberian Husky, anjing kereta luncur kompak yang dilapisi tebal dengan ukuran sedang dan daya tahan tinggi, dikembangkan untuk bekerja dalam kelompok, menarik beban ringan dengan kecepatan sedang di hamparan beku yang luas. Trah utara ini ramah, cerewet, dan bermartabat.","Setia, Nakal, Ramah",14,50.8,59.69,15.875732950000002,27.2155422,12.0,14.0,Working Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,0.4,Mandiri,0.8,Ramah
Silky Terrier,"Kecil tapi tidak rapuh, penuh semangat tapi tidak ceria, cantik tapi tidak terpahat, Silkys adalah dinamo setinggi 10 inci yang digerakkan oleh rasa ingin tahu dan semangat yang tinggi. Mantel biru-cokelat yang indah itu lurus dan berkilau, serta terasa dan berperilaku seperti rambut manusia. Kepalanya yang berbentuk baji dilengkapi dengan rambut lebat yang dibelah di tengah, dan telinga berbentuk V yang tegak menarik perhatian pada ekspresi tajam dan tajam dari mata berbentuk almond. Silky lebih halus daripada ratting terrier pada umumnya, tetapi mereka tetap terlihat dan berperilaku seperti anjing tanah sejati. Sebagai anggota AKC Toy Group yang menawan, Silky Terrier yang ringkas dan berlapis mengkilap tetap merupakan terrier sejati yang memiliki semangat tinggi dan energik. Silky, yang berasal dari Sydney, Australia, lebih besar dari sepupu dekatnya, Yorkshire Terrier.","Ramah, Cepat, Waspada",112,22.86,25.4,4.535923700000001,4.535923700000001,13.0,15.0,Toy Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.4,Sesekali,0.6,Latihan rutin,0.6,Menyenangkan,0.6,Waspada/Responsif
Skye Terrier,"Panjang, rendah, dan rata, anjing tanah unik ini adalah salah satu ras AKC yang berpenampilan paling khas. Skyes memiliki tinggi 9 atau 10 inci dan menampilkan mantel panjang rata serta tatanan rambut ciluk ba. Mereka dikenal dengan telinga besar dan berbulu yang berdiri seperti sayap kelelawar, tetapi Skyes juga memiliki “telinga jatuh”, yang terletak rata di atas kepalanya yang besar dan panjang. Di bawah bulu yang lebat terdapat kaki yang pendek dan berotot serta dada yang dalam. Jika dilihat dari profilnya, anjing terrier yang anggun namun kokoh ini memiliki panjang dua kali lipat dari tinggi badannya. “Trah surgawi berhati singa,” Skye Terrier yang panjang, rendah, dan rata adalah salah satu ras AKC yang tampak paling khas. Bangsawan yang anggun namun kokoh ini dibesarkan sebagai pembasmi hama di Pulau Skye yang terpencil di Skotlandia.","Berani, Baik hati, Cerdik",178,24.13,25.4,15.875732950000002,20.41165665,12.0,14.0,Terrier Group,0.8,Menyikat Setiap Hari,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Sloughi,"Sloughi (SLOO-ghee) adalah anjing pemburu garis keturunan kuno yang dibuat secara klasik, awalnya dibiakkan untuk mengerjakan hewan buruan seperti kelinci, rubah, serigala, rusa, dan babi hutan di daerah yang sulit di tanah kelahirannya. Ini adalah anjing ramping tanpa embel-embel yang berdiri antara 24 hingga 29 inci di bahu. Warna bulunya meliputi corak pasir muda hingga merah kekuningan mahoni, dengan atau tanpa belang-belang, dengan atau tanpa corak hitam, tanpa corak putih invasif. Mata Sloughi yang besar dan gelap sering digambarkan sebagai ""melankolis"". Sloughi kuno, yang dijuluki “Arabian Greyhound”, adalah anjing pemburu kurus dan gesit yang berburu berbagai hewan buruan di gurun Afrika Utara. Anjing pemburu klasik, Sloughi sangat menyendiri dengan orang asing dan lembut terhadap orang yang dicintai.","Pendiam, Anggun, Mulia",192,60.96,73.66,15.875732950000002,22.6796185,10.0,15.0,Hound Group,0.4,Menyikat Gigi Mingguan,0.2,Jarang,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Slovakian Wirehaired Pointer,"Slovakian Wirehair Pointer adalah anjing dengan kekuatan sedang, tipe pekerja, tetapi dengan garis keturunan yang mulia. Warna dasar bulunya disebut “abu-abu” dan bulunya kasar (keras). Dia harus bugar dan mampu bekerja di dataran, di hutan dan di air dan terutama bekerja setelah penembakan, mencari dan mengambil hewan buruan yang terluka. Dia patuh dan mudah dilatih. Slovakian Wirehair Pointer adalah anjing dengan kekuatan sedang, tipe pekerja, tetapi dengan keluhuran dalam garis keturunannya.",nan,,57.15,67.31,22.6796185,29.48350405,12.0,15.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.4,Mandiri,1.0,Keluar
Slovensky Cuvac,"Ciri-ciri ras Slovensky Cuvac sesuai dengan tipe anjing gunung yang bertubuh kokoh, berpenampilan mengesankan, dan bulu putih tebal. Dia memiliki tulang yang kuat, temperamen yang lincah dan waspada, tidak takut dan waspada. Selama berabad-abad, ia telah terbiasa dengan iklim yang keras di pegunungan Slovakia, khususnya Pegunungan Tatra. Kewaspadaan dan kewaspadaannya membantu memberinya nama, sebagaimana kata dalam bahasa Slovakia cuvat berarti mendengar. Slovensky Cuvac sangat setia dan berani serta selalu siap melawan penyusup mana pun, bahkan jika mereka beruang dan serigala. Untuk membedakannya dengan hewan liar di malam hari, menurut tradisi kuno, ia hanya dibiakkan dengan warna putih.","Berani, Waspada, Setia",,58.42,69.85,30.84428116,43.99845989,11.0,13.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.8,Secara teratur,0.4,Tenang,,nan,,nan
Slovensky Kopov,"Juga dikenal sebagai Slovakian Hound, Slovak Hound, atau Slovensky Kopov adalah anjing pemburu aroma berukuran sedang dengan tubuh yang relatif ringan namun kokoh. Bulunya memiliki tingkat kekasaran sedang, pas, padat, dan selalu berwarna hitam pekat dengan corak cokelat. Ini adalah ras yang sangat cerdas dengan indera penciuman dan arah yang sangat baik. Dimana ia dikenal, ia mendominasi dunia perburuan dengan daya tahan, karakter, dan keberaniannya yang besar. Detail Kontak KlubNama: Vladimir SkalaAlamat: 3734 N Lockwood Ave, Chicago, IL 60641 Pemburu yang bersemangat dan gigih ini akan mengikuti aroma selama berjam-jam. Slovensky Kopov adalah ras yang tangguh dan pekerja keras yang juga dikenal karena keberanian dan daya tahannya yang tinggi dan pada awalnya dikembangkan untuk berburu babi hutan.","Berani, Waspada, Bertekad",,40.64,50.8,14.968548210000002,19.95806428,12.0,13.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.6,Latihan rutin,,nan,,nan
Small Munsterlander Pointer,"Munsterlander Kecil cerdas dan mampu belajar, memiliki temperamen yang penuh namun seimbang, dan karakter yang mantap. Dia waspada dan ramah terhadap orang lain, yang membuatnya cocok untuk kehidupan keluarga; dia memiliki perilaku sosial yang baik dan tetap berhubungan dekat dengan tuannya. Naluri predatornya yang penuh gairah dan gigih, bakat berburu yang serba bisa, serta saraf yang kuat dan ketajamannya terhadap permainan menjadikannya teman berburu yang sangat mahir. Selama musim sepi, Munsterlander Kecil juga dapat digunakan untuk tes atau uji ketangkasan, kepatuhan, pengambilan, dan berburu. Penduduk Munsterland kecil memiliki naluri berkelompok yang kuat dan berkembang dalam keluarga yang berorientasi pada alam terbuka. Di dalam rumah, mereka sering ditemukan tidur di dekat (atau di) kaki majikannya. Di negara asalnya Jerman, dia adalah Kleiner Münsterländer. Detail Kontak KlubKlub: Klub Munsterlander Kecil Amerika UtaraNama: Mark Schnubel, PresidenEmail: presiden@smcna.orgTelepon: 860-477-0355 Munsterlander Kecil adalah anjing pemburu serbaguna dan retriever alami dengan jangkauan menengah, naluri menunjuk yang kuat, dan hasrat yang kuat untuk air. Dia memiliki kemampuan pelacakan yang sangat baik untuk semua jenis pekerjaan setelah pengambilan gambar. Kualitas-kualitas ini ditingkatkan oleh kecerdasan dan kemampuan melatih.","Cerdas, Berbakti, Percaya Diri",,52.07,53.34,18.1436948,27.2155422,12.0,14.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,0.6,Menyenangkan,0.8,Ramah
Smooth Fox Terrier,"Smooth sangat mirip dengan kerabat dekat mereka, Wire Fox Terrier. Seperti sepupu mereka yang berlapis renyah, Smooths tingginya tidak lebih dari 15,5 inci di bahu. Ciri fisik yang membedakan selain jenis bulu adalah bagian kepalanya: Kepala Smooth lebih berbentuk V dibandingkan Wire. Bulunya yang padat dan rata didominasi warna putih, dengan corak hitam, cokelat, atau hitam-cokelat. Pemburu yang cerdik ini kuat dan kokoh, tetapi tidak pernah kasar dan kikuk. Dengan punggung pendek dan simetris, mereka bergerak dengan keanggunan jam pendulum yang tak tergoyahkan. Smooth Fox Terrier, yang disebut sebagai “gentleman of the terrier world,” adalah anjing terrier yang lincah dan suka berteman dengan sikap yang sangat peduli, awalnya dikembangkan untuk perburuan rubah tradisional Inggris. Mereka adalah kerabat dekat Wire Fox Terrier.","Ramah, Mandiri, Lucu",123,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,Terrier Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.8,Energik,0.6,Menyenangkan,0.8,Ramah
Soft Coated Wheaten Terrier,"Ciri khas dari anjing ekstrovert yang ceria ini, dan yang membedakan mereka dari anjing terrier lainnya, adalah bulunya yang halus dan melambai lembut. Warnanya mulai dari krem ​​​​pucat hingga emas berkilauan, mengingatkan pada warna gandum yang matang. Dengan tinggi 19 inci dan berat 40 pon, Wheatens berbentuk persegi, terrier kokoh dengan tatanan rambut mengintip dan janggut yang gagah. Gambaran keseluruhannya adalah seekor anjing terrier yang berotot keras namun memiliki lapisan lembut atau, seperti yang telah dijelaskan pada ras ini, tangan besi dalam sarung tangan beludru. Soft Coated Wheaten Terrier, anjing peternakan Irlandia yang ceria, ceria, ramah, sangat setia, dan cukup keras kepala untuk mengingatkan Anda bahwa dia adalah seekor terrier. Mantel gandum yang unik memiliki tingkat kerontokan yang rendah tetapi memerlukan perawatan yang cermat agar tidak kusut.","Ramah, Bahagia, Sangat Berbakti",53,43.18,48.26,13.6077711,18.1436948,12.0,14.0,Terrier Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.2,Jarang,0.8,Energik,0.4,Mandiri,0.6,Waspada/Responsif
Spanish Mastiff,"Spanish Mastiff adalah anjing berukuran besar, seimbang, sangat kuat, dan berotot. Ia memiliki kepala besar dan tubuh ditutupi mantel berukuran sedang. Kulitnya parau, bernada rendah dan dalam, sangat nyaring dan terdengar dari jarak yang cukup jauh. Spanish Mastiff hadir dalam berbagai warna bulu, termasuk hitam, coklat kekuningan, merah, abu-abu, dan kuning, dan dapat dilihat dengan tanda belang-belang atau putih. Digunakan untuk menjaga dan bertahan, ras ini terkait erat dengan pergerakan ternak musiman. , khususnya ternak Merino yang ia temani pada saat “Mesta”. Pada Abad Pertengahan, ini adalah perkumpulan para peternak domba yang melakukan perjalanan musiman ke lokasi yang jauh untuk mencari padang rumput. Spanish Mastiff bertugas melindungi mereka dari serigala dan predator lainnya sepanjang perjalanan mereka. Baik menetap atau mengembara, ia melakukan hal yang sama terhadap pertanian, manusia, dan properti secara umum. Detail Kontak KlubNama: Anne GoetzEmail: centurianmastini@rocketmail.comTelepon: (828) 803-5087 Spanish Mastiff adalah anjing yang sangat cerdas, bukannya tanpa kecantikan, yang ekspresinya menunjukkan kedua kualitas ini. Pedesaan, penyayang, baik hati dan mulia, ia sangat bertekad saat menghadapi hewan berbahaya dan di depan orang asing, terutama saat ia memiliki kesempatan untuk mempertahankan dan melindungi peternakan atau ternak. Dari tingkah lakunya terlihat seekor anjing yang percaya diri, menentukan kekuatannya karena dia sadar akan kekuatannya yang sangat besar.","Penuh kasih sayang, Cerdas, Baik hati",,71.12,88.9,63.502931800000006,90.718474,10.0,12.0,Foundation Stock Service,,nan,0.6,Musiman,0.4,Tenang,,nan,,nan
Spanish Water Dog,"Tampilan unik para pekerja yang tiada habisnya ini dimulai dari mantelnya. Rambutnya secara alami keriting dan berbulu dari ujung kepala sampai ujung kaki, dan ketika tumbuh besar sering kali membentuk tali yang rapat dan meruncing. Dalam mantel penuh, bulu wajah menutupi mata coklat yang ekspresif. Warna bisa hitam, coklat, krem, putih, atau particolor (hitam, coklat, krem, dengan putih). “Pedesaan” adalah kata yang sering digunakan untuk menggambarkan keseluruhan tampilan anjing kokoh berukuran sedang ini (jantan akan berdiri sedikit di bawah 20 inci di bahu). Anjing Air Spanyol yang tiada habisnya adalah ras dengan tujuan ganda yang ciri khasnya adalah bulu ikal berbulu. Digunakan sebagai penggembala dan pemungut unggas air di kampung halamannya, pawang pedesaan ini adalah teman keluarga yang lincah dan anjing penjaga yang waspada.",Menyenangkan tetapi juga Berorientasi pada Pekerjaan. Sangat Aktif dan Optimis.,153,40.005,50.165,14.06136347,22.22602613,12.0,14.0,Herding Group,1.0,Spesialisasi/Profesional,0.2,Jarang,0.8,Energik,1.0,Ingin menyenangkan,0.4,Dicadangkan dengan Orang Asing
Spinone Italiano,"Spinone Italiano (jamak: Spinoni Italiani) adalah pemburu serba bisa yang berbadan tegap dan kokoh. Spinoni berotot dan kuat, dibangun lebih untuk daya tahan daripada kecepatan. Bulu yang lebat memiliki tampilan alami, tidak terpotong, serta tersedia dalam berbagai warna dan corak. Wajahnya menunjukkan pesona Dunia Lama yang melimpah dari ras ini. Mata yang lembut dan ekspresif dengan alis lebat dan janggut berumbai telah memenangkan banyak hati di Italia—dan mereka membuat penaklukan baru di Amerika setiap hari. Spinone Italiano, anjing pemburu yang berbulu lebat, mudah bergaul, patuh, dan sabar, terkadang keras kepala namun selalu menawan. Dari garis keturunan Italia kuno, Spinone adalah salah satu anjing lapangan di Benua Eropa yang terkenal karena keserbagunaannya.","Ramah, Sabar, Penurut",109,55.88,68.58,,,10.0,12.0,Sporting Group,0.4,Menyikat Gigi Mingguan,,nan,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Stabyhoun,"Sifat mandiri Stabyhoun merupakan ciri khas yang sengaja diternakkan oleh para petani yang menginginkan anjing yang bisa berburu tikus tanah dan kelinci secara mandiri. Kecenderungan itu masih kita lihat sampai sekarang, oleh karena itu, Anda tidak boleh kecewa jika dia mencari mangsa secara mandiri dan, misalnya, menggali di taman. Dengan bimbingan yang tepat, Staby adalah anjing yang lembut dan teman baik seumur hidup. Staby juga sangat ingin tahu. Selalu perhatikan apa yang sedang dilakukan Stabyhoun karena dengan sifatnya yang ingin tahu, mereka bisa dengan cepat mendapat masalah. Jika Anda berpikir Staby Anda akan duduk diam jika terjadi sesuatu, Anda akan sering kecewa. Meskipun Staby mengeluarkan banyak suara ketika ada sesuatu yang tidak beres atau untuk mengingatkan pemiliknya, mereka umumnya mengharapkan pemiliknya untuk menyelidiki lebih lanjut sebelum mereka menerima bahwa segala sesuatunya normal. Kebanyakan Staby perlu memverifikasi bahwa tidak ada “kejutan” sebelum menenangkan diri lagi. Trah ini adalah anjing penunjuk yang fungsional dan bertubuh kekar yang berasal dari Belanda. Mayoritas Stabyhoun berkulit hitam dan putih. Warna coklat dan putih terlihat di Belanda, namun Stabyhoun oranye dan putih hampir punah. Bentuk tubuh Staby sedemikian rupa sehingga panjangnya lebih besar daripada tingginya dan demikian pula, kepalanya lebih panjang daripada lebarnya. Bulu-bulu di bagian dada, kerah, kaki depan, celana panjang dan ekor memberikan kesan Staby berambut panjang, namun bulunya tidak terlalu panjang. Stabyhoun dianggap sebagai anjing “serba bisa”, dengan kemampuan berburu, mengambil, dan menunjuk. Mereka juga merupakan anjing keluarga yang ideal karena ukuran dan karakternya yang penuh kasih sayang. Detail Kontak KlubKlub: Asosiasi Ameri-Can StabyhounNama: Susie NiesEmail: AKCrep@stabyhouns.orgAlamat: 0N282 Cumnor Ave, Glen Ellyn, IL 60137Telepon: (630) 632-3443 Meskipun terkadang bersifat disengaja, Stabyhoun patuh, lembut, dan sabar anjing, yang sangat menyayangi keluarganya, ingin menyenangkan pemiliknya. Dia adalah seekor retriever bermulut lembut dan penunjuk yang sangat berguna untuk berburu bebek dan burung dataran tinggi. Dia adalah seekor retriever yang baik, dan pekerjaan air adalah salah satu keahliannya. Dia bermata sangat tajam, memiliki indra penciuman dan bakat yang baik, serta bekerja dengan cepat dan efisien.","Cerdas, Responsif, Penuh Kasih",,48.26,53.34,18.1436948,27.2155422,13.0,15.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.8,Energik,0.8,Pelatihan Mudah,0.6,Waspada/Responsif
